127.0.0.1 - - [19/Oct/2021:21:50:27 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [19/Oct/2021:22:18:25 -0300] "GET /supermercado/entregadores HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [19/Oct/2021:22:18:29 -0300] "GET /supermercado/entregadores HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [19/Oct/2021:22:24:57 -0300] "GET /supermercado/entregadores HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [19/Oct/2021:22:24:58 -0300] "GET /supermercado/entregadores HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [19/Oct/2021:22:24:58 -0300] "GET /supermercado/entregadores HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [19/Oct/2021:22:24:59 -0300] "GET /supermercado/entregadores HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [19/Oct/2021:22:24:59 -0300] "GET /supermercado/entregadores HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [19/Oct/2021:22:25:00 -0300] "GET /supermercado/entregadores HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [19/Oct/2021:22:25:05 -0300] "GET /supermercado/operadores HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [19/Oct/2021:22:25:09 -0300] "GET /supermercado/operadores HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [19/Oct/2021:22:25:36 -0300] "GET /supermercado/operadores HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [19/Oct/2021:22:26:03 -0300] "GET /supermercado/operadores HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [19/Oct/2021:22:26:03 -0300] "GET /supermercado/operadores HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [19/Oct/2021:22:26:04 -0300] "GET /supermercado/operadores HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [19/Oct/2021:22:26:04 -0300] "GET /supermercado/operadores HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [19/Oct/2021:22:26:04 -0300] "GET /supermercado/operadores HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [19/Oct/2021:22:26:04 -0300] "GET /supermercado/operadores HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [19/Oct/2021:22:26:04 -0300] "GET /supermercado/operadores HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [19/Oct/2021:22:26:04 -0300] "GET /supermercado/operadores HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [19/Oct/2021:22:26:04 -0300] "GET /supermercado/operadores HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [19/Oct/2021:22:27:09 -0300] "GET /supermercado/clientes HTTP/1.1" 200 644
0:0:0:0:0:0:0:1 - - [19/Oct/2021:22:27:13 -0300] "GET /supermercado/produtos HTTP/1.1" 200 354
0:0:0:0:0:0:0:1 - - [19/Oct/2021:22:27:17 -0300] "GET /supermercado/entregadores HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [19/Oct/2021:22:27:31 -0300] "GET /supermercado/entregadores HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [19/Oct/2021:22:27:38 -0300] "GET /supermercado/operadores HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [19/Oct/2021:22:27:40 -0300] "GET /supermercado/operadores HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [19/Oct/2021:22:27:41 -0300] "GET /supermercado/operadores HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [19/Oct/2021:22:27:41 -0300] "GET /supermercado/operadores HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [19/Oct/2021:22:28:09 -0300] "GET /supermercado/operadores HTTP/1.1" 404 790
