0:0:0:0:0:0:0:1 - - [19/Oct/2021:10:15:00 -0200] "POST /supermercado/clientes HTTP/1.1" 405 752
0:0:0:0:0:0:0:1 - - [19/Oct/2021:10:17:19 -0200] "POST /supermercado/clientes HTTP/1.1" 406 -
0:0:0:0:0:0:0:1 - - [19/Oct/2021:10:17:32 -0200] "GET /supermercado/clientes HTTP/1.1" 200 804
0:0:0:0:0:0:0:1 - - [19/Oct/2021:10:18:20 -0200] "POST /supermercado/clientes HTTP/1.1" 406 -
0:0:0:0:0:0:0:1 - - [19/Oct/2021:10:18:22 -0200] "POST /supermercado/clientes HTTP/1.1" 406 -
0:0:0:0:0:0:0:1 - - [19/Oct/2021:10:18:25 -0200] "POST /supermercado/clientes HTTP/1.1" 406 -
0:0:0:0:0:0:0:1 - - [19/Oct/2021:10:18:29 -0200] "POST /supermercado/clientes HTTP/1.1" 406 -
0:0:0:0:0:0:0:1 - - [19/Oct/2021:10:18:31 -0200] "POST /supermercado/clientes HTTP/1.1" 406 -
0:0:0:0:0:0:0:1 - - [19/Oct/2021:10:18:32 -0200] "POST /supermercado/clientes HTTP/1.1" 406 -
0:0:0:0:0:0:0:1 - - [19/Oct/2021:10:18:33 -0200] "POST /supermercado/clientes HTTP/1.1" 406 -
0:0:0:0:0:0:0:1 - - [19/Oct/2021:10:18:33 -0200] "POST /supermercado/clientes HTTP/1.1" 406 -
0:0:0:0:0:0:0:1 - - [19/Oct/2021:10:18:38 -0200] "GET /supermercado/clientes HTTP/1.1" 200 804
0:0:0:0:0:0:0:1 - - [19/Oct/2021:10:18:40 -0200] "GET /supermercado/clientes HTTP/1.1" 200 804
0:0:0:0:0:0:0:1 - - [19/Oct/2021:10:18:45 -0200] "GET /supermercado/clientes HTTP/1.1" 200 804
0:0:0:0:0:0:0:1 - - [19/Oct/2021:10:19:32 -0200] "POST /supermercado/clientes HTTP/1.1" 406 -
0:0:0:0:0:0:0:1 - - [19/Oct/2021:10:19:55 -0200] "POST /supermercado/clientes HTTP/1.1" 406 -
0:0:0:0:0:0:0:1 - - [19/Oct/2021:10:20:57 -0200] "POST /supermercado/clientes?cpf=22222222222&nome=Allan%20Mello&email=allan1%40gmail.com&senha=allan123&endereco=Rua%20Moneda,%20678&telefone=22222222222 HTTP/1.1" 406 -
0:0:0:0:0:0:0:1 - - [19/Oct/2021:10:20:58 -0200] "POST /supermercado/clientes?cpf=22222222222&nome=Allan%20Mello&email=allan1%40gmail.com&senha=allan123&endereco=Rua%20Moneda,%20678&telefone=22222222222 HTTP/1.1" 406 -
0:0:0:0:0:0:0:1 - - [19/Oct/2021:10:20:58 -0200] "POST /supermercado/clientes?cpf=22222222222&nome=Allan%20Mello&email=allan1%40gmail.com&senha=allan123&endereco=Rua%20Moneda,%20678&telefone=22222222222 HTTP/1.1" 406 -
0:0:0:0:0:0:0:1 - - [19/Oct/2021:10:21:04 -0200] "POST /supermercado/clientes?cpf=22222222222&nome=Allan%20Mello&email=allan1%40gmail.com&senha=allan123&endereco=Rua%20Moneda,%20678&telefone=22222222222 HTTP/1.1" 406 -
0:0:0:0:0:0:0:1 - - [19/Oct/2021:10:21:06 -0200] "POST /supermercado/clientes?cpf=22222222222&nome=Allan%20Mello&email=allan1%40gmail.com&senha=allan123&endereco=Rua%20Moneda,%20678&telefone=22222222222 HTTP/1.1" 406 -
0:0:0:0:0:0:0:1 - - [19/Oct/2021:10:21:16 -0200] "GET /supermercado/clientes HTTP/1.1" 200 804
0:0:0:0:0:0:0:1 - - [19/Oct/2021:10:21:45 -0200] "POST /supermercado/clientes?cpf=22222222222&nome=Allan%20Mello&email=allan1%40gmail.com&senha=allan123&endereco=Rua%20Moneda,%20678&telefone=22222222222 HTTP/1.1" 406 -
0:0:0:0:0:0:0:1 - - [19/Oct/2021:10:23:04 -0200] "POST /supermercado/clientes?cpf=22222222222&nome=Allan%20Mello&email=allan1%40gmail.com&senha=allan123&endereco=Rua%20Moneda,%20678&telefone=22222222222 HTTP/1.1" 406 -
0:0:0:0:0:0:0:1 - - [19/Oct/2021:10:28:45 -0200] "DELETE /supermercado/clientes?idCliente=2 HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [19/Oct/2021:10:29:00 -0200] "DELETE /supermercado/clientes?idCliente=2 HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [19/Oct/2021:10:29:00 -0200] "DELETE /supermercado/clientes?idCliente=2 HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [19/Oct/2021:10:29:10 -0200] "DELETE /supermercado/clientes HTTP/1.1" 406 -
0:0:0:0:0:0:0:1 - - [19/Oct/2021:10:29:15 -0200] "DELETE /supermercado/clientes HTTP/1.1" 406 -
0:0:0:0:0:0:0:1 - - [19/Oct/2021:10:29:21 -0200] "DELETE /supermercado/clientes HTTP/1.1" 406 -
0:0:0:0:0:0:0:1 - - [19/Oct/2021:10:29:22 -0200] "DELETE /supermercado/clientes HTTP/1.1" 406 -
0:0:0:0:0:0:0:1 - - [19/Oct/2021:10:29:31 -0200] "DELETE /supermercado/clientes?idCliente=2 HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [19/Oct/2021:10:29:32 -0200] "DELETE /supermercado/clientes?idCliente=2 HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [19/Oct/2021:10:31:26 -0200] "POST /supermercado/clientes?cpf=22222222222&nome=Allan%20Mello&email=allan1%40gmail.com&senha=allan123&endereco=Rua%20Moneda,%20678&telefone=22222222222 HTTP/1.1" 406 -
0:0:0:0:0:0:0:1 - - [19/Oct/2021:10:31:27 -0200] "POST /supermercado/clientes?cpf=22222222222&nome=Allan%20Mello&email=allan1%40gmail.com&senha=allan123&endereco=Rua%20Moneda,%20678&telefone=22222222222 HTTP/1.1" 406 -
0:0:0:0:0:0:0:1 - - [19/Oct/2021:10:31:28 -0200] "POST /supermercado/clientes?cpf=22222222222&nome=Allan%20Mello&email=allan1%40gmail.com&senha=allan123&endereco=Rua%20Moneda,%20678&telefone=22222222222 HTTP/1.1" 406 -
0:0:0:0:0:0:0:1 - - [19/Oct/2021:10:31:28 -0200] "POST /supermercado/clientes?cpf=22222222222&nome=Allan%20Mello&email=allan1%40gmail.com&senha=allan123&endereco=Rua%20Moneda,%20678&telefone=22222222222 HTTP/1.1" 406 -
0:0:0:0:0:0:0:1 - - [19/Oct/2021:10:31:31 -0200] "POST /supermercado/clientes HTTP/1.1" 406 -
0:0:0:0:0:0:0:1 - - [19/Oct/2021:10:31:32 -0200] "POST /supermercado/clientes HTTP/1.1" 406 -
0:0:0:0:0:0:0:1 - - [19/Oct/2021:10:31:32 -0200] "POST /supermercado/clientes HTTP/1.1" 406 -
0:0:0:0:0:0:0:1 - - [19/Oct/2021:10:31:35 -0200] "POST /supermercado/clientes HTTP/1.1" 406 -
0:0:0:0:0:0:0:1 - - [19/Oct/2021:10:31:35 -0200] "POST /supermercado/clientes HTTP/1.1" 406 -
0:0:0:0:0:0:0:1 - - [19/Oct/2021:10:31:41 -0200] "DELETE /supermercado/clientes?idCliente=2 HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [19/Oct/2021:10:31:42 -0200] "DELETE /supermercado/clientes?idCliente=2 HTTP/1.1" 404 -
